,,James Carzon,tworandomnames,22733wiag5lbm6rbw3dwf4aja,Steven,Nick King,"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Rowan,brianmck12,fionajeon,Em Johnson,CyberGrifter,Rinu,Marianna Orth,Andrew Polaski
James Carzon,Clowncore,,-1.0,-1.0,,-2.0,2.0,1.0,3.0,1.0,2.0,,,,
James Carzon,A Rip-Roaring Road Rager,,2.0,1.0,1.0,1.0,5.0,-1.0,,-2.0,,,,,
James Carzon,A Midsummer Night's Stream,,4.0,2.0,4.0,5.0,15.0,,,4.0,,,,,
James Carzon,Songs to Send Your FBI Agent,,-3.0,2.0,-2.0,3.0,2.0,3.0,1.0,,,,,,
James Carzon,Dance Dance Evolution!,,2.0,-2.0,-2.0,4.0,2.0,-1.0,-4.0,,-2.0,,,,
James Carzon,A Dot in the Shark,,-1.0,1.0,1.0,1.0,3.0,6.0,1.0,-1.0,,,,,
James Carzon,"Red, White, Black, and Blue",,7.0,1.0,2.0,1.0,1.0,-1.0,2.0,1.0,3.0,,,,
James Carzon,Pub Hubbub,,1.0,-2.0,-2.0,1.0,3.0,,5.0,-1.0,1.0,1.0,,,
James Carzon,🔥 Songs for Biggest Spleen 🔥,,1.0,3.0,-2.0,1.0,2.0,3.0,,,4.0,,,,
James Carzon,Villain Arc,,-1.0,2.0,-2.0,1.0,-1.0,,4.0,-2.0,2.0,,,,
James Carzon,Undercover Mob,,6.0,1.0,,,8.0,4.0,-5.0,-2.0,,,,,
James Carzon,...The Last of the Groomsmaids!,,4.0,-3.0,,4.0,-3.0,-1.0,,4.0,,,,,
tworandomnames,Clowncore,-1.0,,1.0,,2.0,0.0,3.0,1.0,1.0,3.0,,,,
tworandomnames,A Rip-Roaring Road Rager,3.0,,3.0,1.0,2.0,7.0,5.0,0.0,2.0,0.0,3.0,,,
tworandomnames,A Midsummer Night's Stream,2.0,,-3.0,-2.0,-2.0,0.0,7.0,,4.0,,,,,
