,,James Carzon,tworandomnames,22733wiag5lbm6rbw3dwf4aja,Steven,Nick King,"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Rowan,brianmck12,fionajeon,Em Johnson,CyberGrifter,Rinu,Marianna Orth,Andrew Polaski
James Carzon,Clowncore,,-1,-1,,-2,2,1,3,1,2,,,,
James Carzon,A Rip-Roaring Road Rager,,2,1,1,1,5,-1,,-2,,,,,
James Carzon,A Midsummer Night's Stream,,4,2,4,5,15,,,4,,,,,
James Carzon,Songs to Send Your FBI Agent,,-3,2,-2,3,2,3,1,,,,,,
James Carzon,Dance Dance Evolution!,,2,-2,-2,4,2,-1,-4,,-2,,,,
James Carzon,A Dot in the Shark,,-1,1,1,1,3,6,1,-1,,,,,
James Carzon,"Red, White, Black, and Blue",,7,1,2,1,1,-1,2,1,3,,,,
James Carzon,Pub Hubbub,,1,-2,-2,1,3,,5,-1,1,1,,,
James Carzon,🔥 Songs for Biggest Spleen 🔥,,1,3,-2,1,2,3,,,4,,,,
James Carzon,Villain Arc,,-1,2,-2,1,-1,,4,-2,2,,,,
James Carzon,Undercover Mob,,6,1,,,8,4,-5,-2,,,,,
James Carzon,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
tworandomnames,Clowncore,-1,,1,,2,0,3,1,1,3,,,,
tworandomnames,A Rip-Roaring Road Rager,3,,3,1,2,7,5,0,2,0,3,,,
tworandomnames,A Midsummer Night's Stream,2,,-3,-2,-2,0,7,,4,,,,,
tworandomnames,Songs to Send Your FBI Agent,-2,,5,3,-2,2,1,,,,,,,
tworandomnames,Dance Dance Evolution!,-1,,2,2,3,-1,-1,-1,,5,,,,
tworandomnames,A Dot in the Shark,4,,4,1,5,-3,-1,-2,4,,,,,
tworandomnames,"Red, White, Black, and Blue",2,,3,3,3,2,5,9,6,2,,,,
tworandomnames,Pub Hubbub,-1,,-2,3,-2,-1,,1,4,2,2,,,
tworandomnames,🔥 Songs for Biggest Spleen 🔥,4,,-3,-3,-3,2,6,,,-2,,,,
tworandomnames,Villain Arc,-1,,-3,1,2,1,-3,-3,2,-1,,,,
tworandomnames,Undercover Mob,7,,-2,,,-1,-1,0,2,,,,,
tworandomnames,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
22733wiag5lbm6rbw3dwf4aja,Clowncore,-2,-2,,,1,-5,-4,-2,2,-3,,,,
22733wiag5lbm6rbw3dwf4aja,A Rip-Roaring Road Rager,5,4,,6,2,0,0,0,1,,,,,
22733wiag5lbm6rbw3dwf4aja,A Midsummer Night's Stream,4,3,,-1,4,-3,1,,-2,,,,,
